    file problem time exit-status
470 164313__300__9_11_64__85.apx SE-ST 103 0
471 164313__300__9_11_64__85.apx EE-PR 114 0
472 164313__300__9_11_64__85.apx SE-PR 113 0
473 164327__400__9_9_44__77.apx EE-GR 103 0
474 164327__400__9_9_44__77.apx SE-GR 104 0
475 164327__400__9_9_44__77.apx EE-CO 173 0
476 164327__400__9_9_44__77.apx SE-CO 105 0
477 164327__400__9_9_44__77.apx EE-ST 138 0
478 164327__400__9_9_44__77.apx SE-ST 130 0
479 164327__400__9_9_44__77.apx EE-PR 174 0
480 164327__400__9_9_44__77.apx SE-PR 170 0
481 166553__200__10_10_103__63.apx EE-GR 100 0
482 166553__200__10_10_103__63.apx SE-GR 101 0
483 166553__200__10_10_103__63.apx EE-CO 109 0
484 166553__200__10_10_103__63.apx SE-CO 101 0
485 166553__200__10_10_103__63.apx EE-ST 103 0
486 166553__200__10_10_103__63.apx SE-ST 101 0
487 166553__200__10_10_103__63.apx EE-PR 109 0
488 166553__200__10_10_103__63.apx SE-PR 109 0
489 168618__400__15_15_40__0.apx EE-GR 103 0
490 168618__400__15_15_40__0.apx SE-GR 104 0
491 168618__400__15_15_40__0.apx EE-CO 486 0
492 168618__400__15_15_40__0.apx SE-CO 104 0
493 168618__400__15_15_40__0.apx EE-ST 279 0
494 168618__400__15_15_40__0.apx SE-ST 226 0
495 168618__400__15_15_40__0.apx EE-PR 484 0
496 168618__400__15_15_40__0.apx SE-PR 494 0
497 169156__300__6_6_8__31.apx EE-GR 115 0
498 169156__300__6_6_8__31.apx SE-GR 116 0
499 169156__300__6_6_8__31.apx EE-CO 120002 124
500 169156__300__6_6_8__31.apx SE-CO 118 0
501 169156__300__6_6_8__31.apx EE-ST 80008 0
502 169156__300__6_6_8__31.apx SE-ST 38768 0
503 169156__300__6_6_8__31.apx EE-PR 120003 124
504 169156__300__6_6_8__31.apx SE-PR 120002 124
505 170593__400__15_21_39__30.apx EE-GR 103 0
506 170593__400__15_21_39__30.apx SE-GR 103 0
507 170593__400__15_21_39__30.apx EE-CO 3021 0
508 170593__400__15_21_39__30.apx SE-CO 105 0
509 170593__400__15_21_39__30.apx EE-ST 633 0
510 170593__400__15_21_39__30.apx SE-ST 193 0
511 170593__400__15_21_39__30.apx EE-PR 3028 0
